id	主题1	主题2	主题3
10495	23	8	19
10496	3	18	19
10497	18	12	13
10498	12	26	18
105	26	18	19
1050	1	18	19
10501	6	18	19
10502	17	24	18
10503	18	13	19
10504	3	18	8
10505	13	15	18
10506	18	19	1
10507	17	4	18
10508	2	18	19
10509	17	18	19
1051	2	6	18
10510	3	4	18
10511	18	12	19
10512	5	3	19
10513	19	18	1
10514	17	19	24
10515	18	15	19
10517	18	5	19
10518	23	22	2
10519	19	18	16
1052	8	20	6
10520	13	3	14
10521	13	1	17
10522	25	23	18
10523	17	18	2
10524	4	10	18
10525	21	18	24
10526	19	23	4
10527	18	11	19
10528	24	9	13
10529	23	19	15
1053	9	7	8
10530	2	18	19
10531	8	17	18
10532	5	7	18
10533	18	19	1
10534	19	6	18
10536	1	5	11
10537	21	19	18
10538	17	18	19
10539	15	19	1
1054	11	24	23
10540	10	18	24
10541	1	10	18
10542	10	18	7
10543	10	18	19
10544	10	6	18
10545	18	24	11
10546	12	18	23
10547	15	1	18
10548	9	19	18
10549	26	23	19
1055	11	18	19
10551	11	2	18
10552	9	8	19
10553	23	24	19
10554	21	5	2
10555	25	2	24
10557	14	18	19
10558	20	1	3
10559	25	18	19
1056	17	18	19
10560	19	2	4
10561	24	18	19
10562	4	13	19
10563	17	5	23
10565	10	18	19
10567	16	17	18
10569	9	5	25
1057	15	18	19
10570	19	18	1
10571	1	8	18
10573	19	13	17
10575	13	3	18
10577	4	11	18
10578	12	16	20
1058	25	18	6
10580	16	18	19
10581	15	4	12
10582	18	17	4
10583	16	23	1
10584	23	19	18
10585	19	18	1
10586	23	18	19
10587	6	18	3
10588	4	21	18
10589	1	26	3
1059	6	18	19
10590	2	26	18
10591	26	19	2
10592	8	19	24
10593	19	13	18
10594	17	19	18
10595	1	18	19
10596	9	18	19
10597	19	20	18
10598	9	18	19
10599	9	11	18
106	23	17	18
1060	24	2	15
10600	9	19	18
10601	19	6	18
10602	26	20	18
10603	9	25	13
10604	6	18	20
10605	19	8	6
10606	18	12	6
10607	2	26	18
10608	2	26	18
10609	26	2	6
1061	14	8	18
10610	26	2	18
10611	13	19	18
10612	13	8	18
